institution_name,normalized_institution_name,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,physical_location,mainland_or_zanzibar,website,phone_numbers,email,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes
INSTITUTE OF RURAL DEVELOPMENT PLANNING - MWANZA,institute of rural development planning mwanza,REG/PWF/043,NACTVET ; TCU,,public,technical college,Mwanza,Magu District Council,Magu District Council - Mwanza,Mainland,,,,CAS ; TCU,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf ; https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026. ; Listed by TCU as non-university approved to admit students in 2025/2026. || Alternate official spellings/names seen: Institute of Rural Development Planning (IRDP)-Mwanza || Ownership labels differed across sources.
Institute of Finance Management (IFM)- Mwanza,institute of finance management mwanza,,TCU,,public,business college,Mwanza,,Mwanza,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
JEMA INSTITUTE OF TECHNOLOGY,jema institute of technology,REG/SAT0/47,NACTVET,,private,technical college,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT - MWANZA CAMPUS,kaliua institute of community development mwanza campus,REG/BTP/115,NACTVET,,private,community development/social work college,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KISEKE TRAINNING INSTITUTE OF HEALTH AND ALLIED SCIENCES,kiseke trainning institute of health and allied sciences,REG/HAS/220P,NACTVET,,private,health college,Mwanza,Ilemela Municipal Council,Ilemela Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Kwimba DVTC,kwimba dvtc,,VETA,,public,vocational centre,Mwanza,Ngudu,S.L.P 19 NGUDU-KWIMBA MWANZA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
LIVESTOCK TRAINING AGENCY MABUKI CAMPUS,livestock training agency mabuki campus,REG/SAT/027,NACTVET,,public,technical college,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MALYA COLLEGE OF SPORTS DEVELOPMENT,malya college of sports development,REG/PWF/019,NACTVET,,public,technical college,Mwanza,Kwimba District Council,Kwimba District Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MARY B INSTITUTE OF HEALTH AND ALLIED SCIENCES,mary b institute of health and allied sciences,REG/HAS/268P,NACTVET,,private,health college,Mwanza,Ilemela Municipal Council,Ilemela Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MINISTRY OF AGRICULTURE TRAINING INSTITUTE UKIRIGURU- MWANZA,ministry of agriculture training institute ukiriguru mwanza,REG/ANE/012,NACTVET,,public,agriculture college,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MISUNGWI COMMUNITY DEVELOPMENT TECHNICAL TRAINING INSTITUTE-MWANZA,misungwi community development technical training institute mwanza,REG/EOS/015,NACTVET,,public,community development/social work college,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MIZPAH HEALTH INSTITUTE - MISUNGWI,mizpah health institute misungwi,REG/HAS/267,NACTVET,,private,health college,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MKOLANI FOUNDATION HEALTH SCIENCES TRAINING INSTITUTE,mkolani foundation health sciences training institute,REG/HAS/169,NACTVET,,private,health college,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MWANZA BAPTIST INSTITUTE,mwanza baptist institute,REG/BTP/112,NACTVET,,private,business college,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MWANZA COLLEGE OF HEALTH AND ALLIED SCIENCES - MWANZA,mwanza college of health and allied sciences mwanza,REG/HAS/075-J,NACTVET,,public,health college,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MWANZA POLYTECHNIC INSTITUTE - MASWA,mwanza polytechnic institute maswa,REG/PWF/051,NACTVET,,private,technical college,Mwanza,,Administration four Passes,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Mwanza RVTSC,mwanza rvtsc,,VETA,,public,vocational centre,Mwanza,,S.L.P 1983 MWANZA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na kutwa
Mwanza University (MzU),mwanza university,,TCU,,private,university,Mwanza,,Mwanza,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
NATIONAL COLLEGE OF TOURISM - MWANZA,national college of tourism mwanza,REG/BTP/122,NACTVET,,public,business college,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
NGUDU SCHOOL OF ENVIRONMENTAL HEALTH SCIENCES,ngudu school of environmental health sciences,REG/HAS/058,NACTVET,,public,health college,Mwanza,Kwimba District Council,Kwimba District Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
PASIANSI WILDLIFE TRAINING INSTITUTE - MWANZA,pasiansi wildlife training institute mwanza,REG/ANE/004,NACTVET,,public,agriculture college,Mwanza,Ilemela Municipal Council,Ilemela Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SCHOOL OF LIBRARY ARCHIVES AND DOCUMENTATION STUDIES,school of library archives and documentation studies,SLADS,NACTVET,,unknown,mixed,Mwanza,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
St. Augustine University of Tanzania (SAUT),st augustine university of tanzania,,TCU,,private,university,Mwanza,,Mwanza,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
TANDABUI INSTITUTE OF HEALTH SCIENCES AND TECHNOLOGY,tandabui institute of health sciences and technology,REG/HAS/117,NACTVET,,private,health college,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Tanzania Institute of Accountancy (TIA) Mwanza,tanzania institute of accountancy mwanza,,TCU,,public,business college,Mwanza,,Mwanza,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
UBUNTU INSTITUTE OF SOCIAL JUSTICE - MWANZA,ubuntu institute of social justice mwanza,REG/BTP/160,NACTVET,,private,business college,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Ukerewe DVTC,ukerewe dvtc,,VETA,,public,vocational centre,Mwanza,Nansio,S.L.P 350 NANSIO-UKEREWE MWANZA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
WESLEY COLLEGE,wesley college,REG/BTP/087,NACTVET,,private,business college,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
AMANI COLLEGE OF MANAGEMENT AND TECHNOLOGY,amani college of management and technology,ACMT,NACTVET,,unknown,business college,Njombe,Njombe District Council,Njombe District Council - Njombe,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
HAGAFILO COLLEGE OF DEVELOPMENT MANAGEMENT,hagafilo college of development management,REG/TLF/004,NACTVET,,private,technical college,Njombe,Njombe District Council,Njombe District Council - Njombe,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MAKAMBAKO INSTITUTE OF HEALTH SCIENCES,makambako institute of health sciences,REG/HAS/127,NACTVET,,private,health college,Njombe,Makambako Town Council,Makambako Town Council - Njombe,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MAMRE AGRICULTURE AND LIVESTOCK COLLEGE,mamre agriculture and livestock college,REG/SAT/011,NACTVET,,private,agriculture college,Njombe,Wanging'ombe District Council,Wanging'ombe District Council - Njombe,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MGAO HEALTH TRAINING INSTITUTE,mgao health training institute,REG/HAS/141,NACTVET,,private,health college,Njombe,Njombe District Council,Njombe District Council - Njombe,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Makete DVTC,makete dvtc,,VETA,,public,vocational centre,Njombe,Makete,S.L.P 138 MAKETE NJOMBE,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Kutwa
NJOMBE INSTITUTE OF HEALTH AND ALLIED SCIENCES (NJIHAS),njombe institute of health and allied sciences,REG/HAS/046,NACTVET,,public,health college,Njombe,Njombe District Council,Njombe District Council - Njombe,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Njombe RVTSC,njombe rvtsc,,VETA,,public,vocational centre,Njombe,,"S.L.P 698, NJOMBE",Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na Kutwa
Wanging'ombe DVTC,wanging ombe dvtc,,VETA,,public,vocational centre,Njombe,,S.L.P 66 NJOMBE,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - BAGAMOYO,agency for development of educational management bagamoyo,REG/PWF/020,NACTVET,,public,business college,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
BAGAMOYO PROFESSIONAL COLLEGE,bagamoyo professional college,REG/BTP/142P,NACTVET,,private,business college,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
BAGAMOYO SCHOOL OF NURSING,bagamoyo school of nursing,REG/HAS/078,NACTVET,,public,health college,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
FISHERIES EDUCATION AND TRAINING AGENCY (FETA) MBEGANI,fisheries education and training agency mbegani,REG/ANE/002,NACTVET,,public,agriculture college,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KAOLE WAZAZI COLLEGE OF AGRICULTURE - BAGAMOYO,kaole wazazi college of agriculture bagamoyo,REG/SAT/21,NACTVET,,private,agriculture college,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani Secondary Education Examination (CSEE).,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KIBAHA COLLEGE OF HEALTH AND ALLIED SCIENCES,kibaha college of health and allied sciences,REG/HAS/026,NACTVET,,public,health college,Pwani,Kibaha District Counci,Kibaha District Counci - Pwani,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KIBAHA INSTITUTE OF BUSINESS,kibaha institute of business,REG/BTP/130P,NACTVET,,private,business college,Pwani,Kibaha District Counci,Kibaha District Counci - Pwani,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Mafia DVTC,mafia dvtc,,VETA,,public,vocational centre,Pwani,,S.L.P 36 PWANI,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Marian University College (MARUCo),marian university college,,TCU,,private,university college,Pwani,,Bagamoyo,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university college approved to admit students in 2025/2026.
Pwani RVTSC,pwani rvtsc,,VETA,,public,vocational centre,Pwani,"Kongowe, Kibaha","S.L.P. 30345 KONGOWE, KIBAHA PWANI",Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na kutwa
Rufiji DVTC,rufiji dvtc,,VETA,,public,vocational centre,Pwani,Rufiji,S.L.P RUFIJI PWANI,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
ST THOMAS INSTITUTE OF MANAGEMENT AND TECHNOLOGY - MSATA,st thomas institute of management and technology msata,REG/BTP/092P,NACTVET,,private,business college,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
TAASISI YA SANAA NA UTAMADUNI BAGAMOYO (TASUBA),taasisi ya sanaa na utamaduni bagamoyo,REG/PWF/010,NACTVET,,public,technical college,Pwani,,"Production, Performing and visual Art, Education, Journalism, Music Arts and Sports, Information Technology, Mass Communication Media Production",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
UNITED TANZANIA AERONAUTICS COLLEGE - CHALINZE,united tanzania aeronautics college chalinze,REG/EOS/031P,NACTVET,,private,technical college,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
PARADISE BUSINESS COLLEGE - SUMBAWANGA,paradise business college sumbawanga,REG/NACTVET/1181,NACTVET,,private,business college,Rukwa,Sumbawanga Municipal Council,Sumbawanga Municipal Council - Rukwa,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
RUKWA INSTITUTE OF BUSINESS MANAGEMENT,rukwa institute of business management,REG/TLF/105,NACTVET,,private,business college,Rukwa,Sumbawanga Municipal Council,Sumbawanga Municipal Council - Rukwa,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Rukwa,rukwa,,Ministry,,unknown,teacher college,Rukwa,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
SUMBAWANGA COLLEGE OF HEALTH AND ALLIED SCIENCES,sumbawanga college of health and allied sciences,REG/HAS/055N,NACTVET,,public,health college,Rukwa,Sumbawanga Municipal Council,Sumbawanga Municipal Council - Rukwa,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF ADULT EDUCATION - SONGEA,institute of adult education songea,REG/BTP/156P,NACTVET,,public,business college,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
LITEMBO HEALTH TRAINING INSTITUTE,litembo health training institute,REG/HAS/266,NACTVET,,private,health college,Ruvuma,Mbinga District Council,Mbinga District Council - Ruvuma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
LIVESTOCK TRAINING AGENCY MADABA CAMPUS,livestock training agency madaba campus,REG/ANE/021,NACTVET,,public,agriculture college,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MLALE COMMUNITY DEVELOPMENT TRAINING INSTITUTE,mlale community development training institute,CDTI,NACTVET,,unknown,community development/social work college,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Namtumbo DVTC,namtumbo dvtc,,VETA,,public,vocational centre,Ruvuma,Namtumbo,S.L.P 37 NAMTUMBO RUVUMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Kutwa na Bweni; kwa wasichana tu.
Nyasa DVTC,nyasa dvtc,,VETA,,public,vocational centre,Ruvuma,Nyasa,S.L.P.96 NYASA RUVUMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
POLYTECHNIC INSTITUTE OF SONGEA,polytechnic institute of songea,REG/BTP/145,NACTVET,,private,business college,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SONGEA COLLEGE OF HEALTH AND ALLIED SCIENCES,songea college of health and allied sciences,REG/HAS/054,NACTVET,,public,health college,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ST. THOMAS INSTITUTE OF MANAGEMENT AND TECHNOLOGY - SONGEA,st thomas institute of management and technology songea,REG/BTP/008,NACTVET,,private,business college,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Songea VTC,songea vtc,,VETA,,public,vocational centre,Ruvuma,Songea,Barabara ya Njombe S.L.P 902 SONGEA RUVUMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Kutwa
TOP ONE COLLEGE OF HEALTH AND ALLIED SCIENCES,top one college of health and allied sciences,REG/HAS/184,NACTVET,,private,health college,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
