institution_name,registration_number,registration_number_as_shown,accreditation_status,ownership_type,institution_category,region,district/council,physical_location,website,phone_numbers,email,application_method,has_form_four_direct_programme,official_source_url,source_type,secondary_source_url,secondary_source_type,tcu_matched_name,confidence_level,last_verified_date,notes
ST THOMAS INSTITUTE OF MANAGEMENT AND TECHNOLOGY - MSATA,REG/BTP/092P,(REG/BTP/092P),unknown,private,business,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. AGGREY COLLEGE OF HEALTH SCIENCES,REG/HAS/116,(REG/HAS/116),unknown,private,health,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. AGGREY INSTITUTE OF EDUCATION,REG/TLF/056,(REG/TLF/056),unknown,private,mixed,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. AUGUSTINE MUHEZA INSTITUTE OF HEALTH SCIENCES,REG/HAS/088,(REG/HAS/088),unknown,religious,health,Tanga,Muheza District Council,Muheza District Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. AUGUSTINE UNIVERSITY OF TANZANIA - ARUSHA CENTRE,SAUT; SAA,(SAUT) (SAA),As per status of the Mother University,private,business,Arusha,Arusha District Council,Arusha District Council - Arusha,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,"St. Augustine University of Tanzania, Arusha Centre",high,2026-04-24,"Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'St. Augustine University of Tanzania, Arusha Centre'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown."
ST. AUGUSTINE UNIVERSITY OF TANZANIA - MWANZA,SAUT; SA,(SAUT) (SA),Accredited and Chartered,private,business,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,St. Augustine University of Tanzania (SAUT),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'St. Augustine University of Tanzania (SAUT)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
ST. BAKHITA HEALTH TRAINING INSTITUTE,REG/HAS/066,(REG/HAS/066),unknown,religious,health,Rukwa,Nkasi District Council,Nkasi District Council - Rukwa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. BERNARD COLLEGE OF BUSINESS ADMINISTRATION AND TECHNOLOGY,REG/SAT/039,(REG/SAT/039),unknown,private,ICT,Singida,Singida District Council,Singida District Council - Singida,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. DAVID COLLEGE OF HEALTH SCIENCES,REG/HAS/170,(REG/HAS/170),unknown,private,health,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. FRANCIS UNIVERSITY COLLEGE OF HEALTH AND ALLIED SCIENCES,SFUCHAS; SF,(SFUCHAS) (SF),Accredited,private,health,Morogoro,Kilombero District Council,Kilombero District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,St. Francis University College of Health and Allied Sciences (SFUCHAS),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'St. Francis University College of Health and Allied Sciences (SFUCHAS)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
ST. GASPAR COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/090,(REG/HAS/090),unknown,religious,health,Singida,Singida District Council,Singida District Council - Singida,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. JOHN COLLEGE OF HEALTH,REG/HAS/126,(REG/HAS/126),unknown,private,health,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. JOSEPH COLLEGE - SHINYANGA CAMPUS,REG/BTP/076,(REG/BTP/076),unknown,private,business,Shinyanga,Shinyanga District Council,Shinyanga District Council - Shinyanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. JOSEPH UNIVERSITY COLLEGE OF HEALTH SCIENCES,REG/UHAS/007,(REG/UHAS/007),Accredited,private,health,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,St. Joseph University College of Health and Allied Sciences (SJCHAS),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'St. Joseph University College of Health and Allied Sciences (SJCHAS)'.
"ST. JOSEPH'S COLLEGE, THE INSTITUTE OF BUSINESS AND MANAGEMENT - KIBAHA CAMPUS",REG/BTP/169P,(REG/BTP/169P),unknown,private,business,Pwani,Kibaha District Counci,Kibaha District Counci - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
"ST. JOSEPH'S COLLEGE, THE INSTITUTE OF BUSINESS AND MANAGEMENT - MOROGORO",REG/BMG/046,(REG/BMG/046),unknown,private,business,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. KIZITO MIKUMI INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/260,(REG/HAS/260),unknown,religious,health,Morogoro,Kilosa District Council,Kilosa District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. MAGDALENE HEALTH TRAINING INSTITUTE,REG/HAS/107N,(REG/HAS/107N),unknown,religious,health,Kagera,Missenyi District Council,Missenyi District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. MAXIMILLIANCOLBE HEALTH COLLEGE,REG/HAS/154,(REG/HAS/154),unknown,private,mixed,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. THERESA SCHOOL OF NURSING,REG/HAS/227,(REG/HAS/227),unknown,religious,health,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ST. THOMAS INSTITUTE OF MANAGEMENT AND TECHNOLOGY - SONGEA,REG/BTP/008,(REG/BTP/008),unknown,private,mixed,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
STELLA MARIS MTWARA UNIVERSITY COLLEGE,SAM,(SAM),Accredited,private,business,Mtwara,Mtwara District Council,Mtwara District Council - Mtwara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Stella Maris Mtwara University College (STeMMUCo),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Stella Maris Mtwara University College (STeMMUCo)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
SUMBAWANGA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/055N,(REG/HAS/055N),unknown,public,health,Rukwa,Sumbawanga Municipal Council,Sumbawanga Municipal Council - Rukwa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
SUYE HEALTH INSTITUTE,REG/HAS/112,(REG/HAS/112),unknown,private,health,Arusha,Arusha District Council,Arusha District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TAASISI YA SANAA NA UTAMADUNI BAGAMOYO (TASUBA),REG/PWF/010,(REG/PWF/010),unknown,public,mixed,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TABORA (EA) POLYTECHNIC COLLEGE - TULI CAMPUS,REG/HAS/244,(REG/HAS/244),unknown,private,health,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TABORA BLISS COLLEGE - TABORA,REG/HAS/214,(REG/HAS/214),unknown,private,mixed,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TABORA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/196,(REG/HAS/196),unknown,public,health,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TABORA EAST AFRICA POLYTECHNIC COLLEGE - TABORA,REG/ANE/034N,(REG/ANE/034N),unknown,private,mixed,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TABORA INSTITUTE,REG/HAS/157,(REG/HAS/157),unknown,private,health,Tabora,Nzega District Council,Nzega District Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TAIFA INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/215,(REG/HAS/215),unknown,private,health,Arusha,Arusha District Council,Arusha District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANDABUI INSTITUTE OF HEALTH SCIENCES AND TECHNOLOGY,REG/HAS/117,(REG/HAS/117),unknown,private,health,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANGA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/049,(REG/HAS/049),unknown,public,health,Tanga,Tanga City Council,Tanga City Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANGA TECHNICAL INSTITUTE,REG/BTP/114P,(REG/BTP/114P),unknown,private,business,Tanga,Tanga City Council,Tanga City Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA GEMOLOGICAL CENTRE,REG/SAT/033,(REG/SAT/033),unknown,public,mixed,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - DAR ES SALAAM,REG/BMG/007,(REG/BMG/007),unknown,public,business,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - KIGOMA CAMPUS,REG/BTP/059,(REG/BTP/059),unknown,public,business,Kigoma,Kigoma-Ujiji Municipal Council,Kigoma-Ujiji Municipal Council - Kigoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - MBEYA,REG/BMG/012,(REG/BMG/012),unknown,public,business,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - MTWARA,REG/BMG/022,(REG/BMG/022),unknown,public,business,Mtwara,Mtwara District Council,Mtwara District Council - Mtwara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - MWANZA CAMPUS,REG/BMG/050,(REG/BMG/050),unknown,public,business,Mwanza,Ilemela Municipal Council,Ilemela Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - SINGIDA,REG/BMG/008,(REG/BMG/008),unknown,public,business,Singida,Singida District Council,Singida District Council - Singida,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - TANGA CAMPUS,REG/BTP/167,(REG/BTP/167),unknown,public,business,Tanga,Tanga City Council,Tanga City Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - ZANZIBAR CAMPUS,REG/BTP/158P,(REG/BTP/158P),unknown,public,business,Zanzibar Central/South,Kati Distric,Kati Distric - Zanzibar Central/South,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF PROJECT MANAGEMENT (TIPM) - DAR ES SALAAM,REG/PWF/042,(REG/PWF/042),unknown,private,business,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF RAIL TECHNOLOGY - TABORA,REG/EOS/012,(REG/EOS/012),unknown,public,mixed,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA INSTITUTE OF RAIL TECHNOLOGY MOROGORO CAMPUS,REG/SAT/044,(REG/SAT/044),unknown,public,technical,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - MBEYA,REG/BTP/068,(REG/BTP/068),unknown,public,business,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - TABORA,REG/BMG/014,(REG/BMG/014),unknown,public,business,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA PUBLIC SERVICE COLLEGE - DAR ES SALAAM,REG/BMG/009,(REG/BMG/009),unknown,public,business,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
TANZANIA PUBLIC SERVICE COLLEGE - MTWARA,REG/BTP/067,(REG/BTP/067),unknown,public,business,Mtwara,Mtwara District Council,Mtwara District Council - Mtwara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
