programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,minimum_entry_requirements,required_subjects,duration,fees_if_available,mode,campus_location,admission_capacity,entry_route_types,accepts_form_four_direct,accreditation_status_if_available,application_link,official_source_url,source_type,secondary_source_url,secondary_source_type,confidence_level,last_verified_date,notes
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,ordinary diploma,business,TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - TANGA CAMPUS,REG/BTP/167,"Lders of Certificate of Secondary Education Examination with 4+ non-religious passes or NVA Level III with At Least two Passes in CSEE | NTA Level 4/BTC in Accountancy, Business Administration, Marketing, Economics, Banking, Finance and Tax Management or ACSEE with at least one Principal pass and one subsidiary Principal subjects",Economics; Accounting,3 years or 2 years,"Local Fee: TSH. 990,000/=",unknown,Tanga City Council - Tanga,300,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resources Management,ordinary diploma in human resources management,ordinary diploma,business,TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - TANGA CAMPUS,REG/BTP/167,"Certificate of Secondary Education Examination with 4+ non-religious passes or NVA Level III with At Least two Passes in CSEE | NTA Level 4/BTC in Accountancy, Finance, Business Administration, Economics, Tax, Customs, Cooperative Management, Cooperative Management and Accounting, Insurance, Procurement and Logistics Management, Procurement Management, Supplies Management, Logistic Management, Clearing and Forwarding, Marketing, Library, Records Management, Tourism, Forest, Agriculture, Pharmacy, Medicine, Social Studies, Mass Communication, International Relations, Statistics Laboratory, Education, Community Development, Human Resource Management, Public Sector Accounting, Banking, Entrepreneurship, Procurement and Supply Management, Business Management, Project Management, Business Information System, Information Technology with Accounting, Local Government Accounting and Finance, Microfinance Management, Risk Management, Statistics, Cooperative Management, Development Planning, Economics or Nursing, Engineering, Education, Financial Management, Industrial Relations, Law or ACSEE with 1 principal + 1 subsidiary or ACSEE with 1 principal + 1 subsidiary",Economics; Accounting; Agriculture,3 years or 2 years,"Local Fee: TSH. 999,000/=",unknown,Tanga City Council - Tanga,300,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Procurement and Logistics Management,ordinary diploma in procurement and logistics management,ordinary diploma,logistics,TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - TANGA CAMPUS,REG/BTP/167,Certificate of Secondary Education Examination with 4+ non-religious passes or NVA Level III with At Least two Passes in CSEE | NTA Level 4/BTC in Procurement and Supply or ACSEEs (ACSEE) with 1 principal + 1 subsidiary O' Level Requirements,,3 years or 2 years,"Local Fee: TSH. 999,000/=",unknown,Tanga City Council - Tanga,300,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Basic Technician Certificate in Accountancy,basic technician certificate in accountancy,basic technician certificate,business,TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - ZANZIBAR CAMPUS,REG/BTP/158P,Certificate of Secondary Education Examination with 4+ non-religious passes or NVA Level III with at least two passes in CSEE,,1 year,"Local Fee: TSH. 890,000/=",unknown,Kati Distric - Zanzibar Central/South,200,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Basic Technician Certificate in Human Resources Management,basic technician certificate in human resources management,basic technician certificate,business,TANZANIA INSTITUTE OF ACCOUNTANCY (TIA) - ZANZIBAR CAMPUS,REG/BTP/158P,Certificate of Secondary Education Examination with 4+ non-religious passes or NVA Level III with at least two passes in CSEE,,1 year,"Local Fee: TSH. 890,000/=; Foreigner Fee: USD 700/=",unknown,Kati Distric - Zanzibar Central/South,200,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Business and Project Management,ordinary diploma in business and project management,ordinary diploma,business,TANZANIA INSTITUTE OF PROJECT MANAGEMENT (TIPM) - DAR ES SALAAM,REG/PWF/042,"CSEE with 4+ non-religious passes or National Vocation Award (NVA) level III with CSEE | NTA Level 4/BTC in Business Administration, Accountancy, Community Development, Development Planning, Procurement, Project Management or ACSEE with at least one Principal pass and Subsidiary in Principal subjects",Accounting,3 years or 2 years,"Local Fee: TSH. 1,050,000/=; Foreigner Fee: USD 750/=",unknown,Ilala Municipal Council - Dar es Salaam,40,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Carriage and Wagon Mechanical Technology,ordinary diploma in carriage and wagon mechanical technology,ordinary diploma,engineering,TANZANIA INSTITUTE OF RAIL TECHNOLOGY - TABORA,REG/EOS/012,Certificate of Secondary Education Examination with At Least four (4) Passes including two Passes in Science Subjects or CSEE with At Least two (2) Passes and Holders of National Vocational Technical Award (nvta) Level III /Trade Test Grade I in Mechanical Related Field | NTA Level 4/BTC in Carriage and Wagon Mechanical Technology or Related Programme,,3 years or 2 years,"Local Fee: TSH. 1,000,000/=",unknown,Tabora Municipal Council - Tabora,50 or 40,CSEE; NTA Level 4; Trade Test Grade I,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Electronics and Communication Engineering,ordinary diploma in electronics and communication engineering,ordinary diploma,engineering,TANZANIA INSTITUTE OF RAIL TECHNOLOGY - TABORA,REG/EOS/012,CSEE with at least four D grades including two science subjects and other two subjects excluding religious subjects. or Holder of Certificate of Secondary Education Examination with two (2) D grades and National Vocation Training Award (NVTA ) level III / Trade Test Grade I in the related field,,3 years,"Local Fee: TSH. 1,000,000/=",unknown,Tabora Municipal Council - Tabora,50,CSEE; Trade Test Grade I,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Railway Transport Economics,ordinary diploma in railway transport economics,ordinary diploma,business,TANZANIA INSTITUTE OF RAIL TECHNOLOGY - TABORA,REG/EOS/012,CSEE with at least four passes in non religious subject including Basic Mathematics | NTA Level 4/BTC in Railway Transport Economics. or ACSEE with at least one principal pass and one subsidiary pass in any subjects excluding religious subjects,Basic Mathematics; Economics,3 years or 2 years,"Local Fee: TSH. 1,000,000/=",unknown,Tabora Municipal Council - Tabora,50,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Railway Transport and Logistics Management,ordinary diploma in railway transport and logistics management,ordinary diploma,logistics,TANZANIA INSTITUTE OF RAIL TECHNOLOGY - TABORA,REG/EOS/012,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Railway Transport and Logistics Management, Railway Transportation, Transport Safety and Railway Accident Management. or Holder ACSEE with At Least One(1) Principal Pass and one (1) Subsidiary Pass in subsidiary subject",,3 years or 2 years,"Local Fee: TSH. 1,000,000/=",unknown,Tabora Municipal Council - Tabora,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Track Technology,ordinary diploma in track technology,ordinary diploma,other,TANZANIA INSTITUTE OF RAIL TECHNOLOGY - TABORA,REG/EOS/012,CSEE with at least Four (4) passes non-religious subjects including one passes in Science subjects | NTA Level 4/BTC in Track Technology,,3 years or 2 years,"Local Fee: TSH. 750,000/=",unknown,Tabora Municipal Council - Tabora,50,CSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Transport Safety and Railway Accident Management,ordinary diploma in transport safety and railway accident management,ordinary diploma,business,TANZANIA INSTITUTE OF RAIL TECHNOLOGY - TABORA,REG/EOS/012,"CSEE with at least four passes of any subject including one science subject Physics, Chemistry, Biology or Mathematics with exclusion religious subjects or Holders of National Vocation Award (NVA level III) in related field with at least two passes | NTA Level 4/BTC in Transport safety and Railway Accidents Management, Railway Transport and Logistics Management",Biology; Chemistry; Physics; Mathematics,3 years or 2 years,"Local Fee: TSH. 1,000,000/=",unknown,Tabora Municipal Council - Tabora,50,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Locomotive Electrical Technology,ordinary diploma in locomotive electrical technology,ordinary diploma,engineering,TANZANIA INSTITUTE OF RAIL TECHNOLOGY MOROGORO CAMPUS,REG/SAT/044,"Certificate of Secondary Education Examinations (CSEE) with 4+ non-religious passes including two passes in either Physics/Engineering Science, Basic Mathematics or Chemistry; or NVA Level III or Trade Test Certificate of Grade I in Engineering with CSEE | NTA Level 4/BTC in Locomotive Electrical Technology or Locomotive Engineering in Diesel Electrical",Chemistry; Physics/Engineering Sciences; Basic Mathematics,3 years or 2 years,"Local Fee: TSH. 885,000/=",unknown,Morogoro Municipal Council - Morogoro,70,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Locomotive Mechanical Technology,ordinary diploma in locomotive mechanical technology,ordinary diploma,engineering,TANZANIA INSTITUTE OF RAIL TECHNOLOGY MOROGORO CAMPUS,REG/SAT/044,"Certificate of Secondary Education Examinations (CSEE) with 4+ non-religious passes including two passes in either Physics/Engineering Science, Basic Mathematics or Chemistry; or NVA Level III or Trade Test Certificate of Grade I in Engineering with CSEE | NTA Level 4/BTC in Locomotive Mechanical Technology or Locomotive Engineering in Diesel Mechanical",Chemistry; Physics/Engineering Sciences; Basic Mathematics,3 years or 2 years,"Local Fee: TSH. 885,000/=",unknown,Morogoro Municipal Council - Morogoro,70,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in in Locomotive Driving Technology,ordinary diploma in in locomotive driving technology,ordinary diploma,other,TANZANIA INSTITUTE OF RAIL TECHNOLOGY MOROGORO CAMPUS,REG/SAT/044,"Certificate of Secondary Education Examinations (CSEE) with 4+ non-religious passes including two passes in either Physics/Engineering Science, Basic Mathematics or Chemistry; or NVA Level III or Trade Test Certificate of Grade I in Engineering with CSEE | NTA Level 4/BTC in Locomotive Driving Technology",Chemistry; Physics/Engineering Sciences; Basic Mathematics,3 years or 2 years,"Local Fee: TSH. 1,210,000/=",unknown,Morogoro Municipal Council - Morogoro,70,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - MBEYA,REG/BTP/068,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Human Resource, Local Government Administration, Social work, Community Development, Business Management or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mbeya City Council - Mbeya,250 or 170,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Local Government Administration,ordinary diploma in local government administration,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - MBEYA,REG/BTP/068,"NTA Level 4/BTC in Local Government Administration, Business Administration, Human Resource Management or ACSEE with 1 principal + 1 subsidiary",,2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mbeya City Council - Mbeya,100,ACSEE; NTA Level 4,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Public Administration Leadership and Management,ordinary diploma in public administration leadership and management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - MBEYA,REG/BTP/068,"An Ordinary Certificate of Secondary Education (form Four) with At Least four Pass Except Religious Subjects or Form four with At Least two Passes at O- Level Certificate and NVA Level 3 in Relevant Field of Study | ACSEE (form Six) with At Least one Principal Pass and A Subsidiary. or Form four with At Least four Passes and A NTA Level 4/BTC in Public Administration, Local Government Administration, Human Resource Management, Sociology, Community Development, Social Work, Social Science, Finance Management, Records Management and Law from Nactvet/tcu Recognized Institutions",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mbeya City Council - Mbeya,200,NTA Level 4; NVA Level III,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Records, Archives and Information Management",ordinary diploma in records archives and information management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - MBEYA,REG/BTP/068,"CSEE with at least four passes in non-religious subjects | NTA Level 4/BTC In Records Management, Library and Information Studies or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mbeya City Council - Mbeya,400,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Secretarial Studies,ordinary diploma in secretarial studies,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - MBEYA,REG/BTP/068,CSEE with at least four passes in non-religious subjects | Holders NTA Level 4/BTC in Secretarial studies or ACSEE with 1 principal + 1 subsidiary,,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mbeya City Council - Mbeya,250 or 150,CSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - TABORA,REG/BMG/014,"CSEE with 4+ non-religious passes or NVA Level III with CSEE | NTA Level 4/BTC in Human Resource, Local Government Administration, Social work, Community Development, Business Management or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Tabora Municipal Council - Tabora,350 or 200,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Records, Archives and Information Management",ordinary diploma in records archives and information management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - TABORA,REG/BMG/014,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Technician Certificate in Records, Archives and Information Management or ACSEE with At Least one Principal Pass and one Subsidiary Passes At Advanced Certificate in Secondary Education Examination (ACSEE)",,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Tabora Municipal Council - Tabora,380 or 250,CSEE; ACSEE; NTA Level 4; Certificate,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Secretarial Studies,ordinary diploma in secretarial studies,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE (TPSC) - TABORA,REG/BMG/014,CSEE with at least four passes in non-religious subjects | Holders NTA Level 4/BTC in Secretarial studies or ACSEE with 1 principal + 1 subsidiary,,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Tabora Municipal Council - Tabora,450 or 300,CSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Records, Archives and Information Management",ordinary diploma in records archives and information management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - DAR ES SALAAM,REG/BMG/009,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Records Management, Medical Records Management, Library and Information Science or Advanced Certificate of Secondary Examination (ACSEE) with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Ilala Municipal Council - Dar es Salaam,600 or 500,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Secretarial Studies,ordinary diploma in secretarial studies,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - DAR ES SALAAM,REG/BMG/009,"CSEE with 4+ non-religious passes or NVA Level III with CSEE | Basic Technician Certificate of (NTA Level 4) in Secretarial Studies, Records Management, Library and Information Sciences, Procurement and Supply, Logistics or ACSEE with at least one Principal pass and one Subsidiary Principal subjects",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Ilala Municipal Council - Dar es Salaam,300,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - MTWARA,REG/BTP/067,"CSEE with 4+ non-religious passes | of NTA Level 4/BTC in Human Resource Management, Public Administration, Local Government Administration, Business Administration or ACSEE with at least one Principal pass and one Subsidiary Principal subjects",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mtwara District Council - Mtwara,300 or 200,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Public Administration,ordinary diploma in public administration,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - MTWARA,REG/BTP/067,"CSEE with 4+ non-religious passes or National Vocational Awards(NVA Level III ) with at least two passes in CSEE | NTA Level 4/BTC in Public Administration, Local Government Administration, Human Resource Management or ACSEE with at least one Principal pass and one Subsidiary Principal subjects",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mtwara District Council - Mtwara,300 or 200,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Records, Archives and Information Management",ordinary diploma in records archives and information management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - MTWARA,REG/BTP/067,"CSEE with 4+ non-religious passes or NVA Level III with At Least two Passes in CSEE | NTA Level 4/BTC in Records, Archives and Information Management, Library and Information Sciences, Medical Records or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mtwara District Council - Mtwara,400 or 300,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Secretarial Studies,ordinary diploma in secretarial studies,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - MTWARA,REG/BTP/067,"CSEE with 4+ non-religious passes or NVA Level III with at least two passes CSEE | Basic Technician Certificate of (NTA Level 4) in Secretarial Studies, Records Management, Library and Information Sciences, Procurement and Supply, Logistics or ACSEE with at least one Principal pass and one Subsidiary Principal subjects",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Mtwara District Council - Mtwara,90 or 200,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - SINGIDA,REG/BTP/038,"CSEE with 4+ non-religious passes or National Vocational Award (NVA ) Level III with in Certificate of Secondary Education Examinations (CSEE) | NTA Level 4/BTC in Human Resource Management, Business Administration, Public Administration or ACSEE with at least one Principal pass and one Subsidiary Principal subjects",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Singida District Council - Singida,360 or 120,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Public Administration,ordinary diploma in public administration,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - SINGIDA,REG/BTP/038,"CSEE with 4+ non-religious passes or NVA Level III with Certificate of Secondary Education Examinations (CSEE) | Basic Technician (NTA Level 4) Certificate in Public Administration, Business Administration, Human Resource Management, Local Government Administration or ACSEE with at least one Principal pass and one Subsidiary Principal subjects",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Singida District Council - Singida,360 or 111,CSEE; ACSEE; NTA Level 4; Certificate; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Records, Archives and Information Management",ordinary diploma in records archives and information management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - SINGIDA,REG/BTP/038,"CSEE with 4+ non-religious passes or National Vocational Award (nva ) Level III with Certificate of Secondary Education Examinations (CSEE) | NTA Level 4/BTC in Records, Archives and Information Management or Holder of Advanced Certificate in Secondary Education Examination (ACSEE) with at least one (1) Principal and one (1) Subsidiary Passes",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Singida District Council - Singida,500 or 70,CSEE; ACSEE; NTA Level 4; Certificate; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Secretarial Studies,ordinary diploma in secretarial studies,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - SINGIDA,REG/BTP/038,"CSEE with 4+ non-religious passes or NVA Level III with CSEE | NTA Level 4/BTC in Secretarial, Business Administration, Human Resource Management, Procurement and Supply, Logistics or ACSEE with one Principal pass and one Subsidiary Principal subjects",,3 years or 2 years,"Local Fee: TSH. 1,015,000/=",unknown,Singida District Council - Singida,160 or 100,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - TANGA,REG/BTP/049,"CSEE with 4+ non-religious passes or NVA Level III with at least two passes in CSEE | NTA Level 4/BTC in Records Management, Secretarial Studies, Human Resources Management, Local Government Administration or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Tanga City Council - Tanga,150,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Procurement and Supply,ordinary diploma in procurement and supply,ordinary diploma,logistics,TANZANIA PUBLIC SERVICE COLLEGE - TANGA,REG/BTP/049,"CSEE with 4+ non-religious passes or NVA Level III with at least two passes in CSEE | NTA Level 4/BTC in Procurement and Supply, Business Administration, Accountancy, Marketing or ACSEE with 1 principal + 1 subsidiary",Accounting,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Tanga City Council - Tanga,120 or 140,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Public Administration,ordinary diploma in public administration,ordinary diploma,business,TANZANIA PUBLIC SERVICE COLLEGE - TANGA,REG/BTP/049,"CSEE with 4+ non-religious passes or National Vocational Award (NVA ) Level III with at least two passes in CSEE | NTA Level 4/BTC in Local Government Administration, Human Resource Management",,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Tanga City Council - Tanga,350 or 180,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
