programme_name,normalized_programme_name,institution_name,normalized_institution_name,raw_requirement_text,accepts_form_four_direct,accepts_form_six,accepts_certificate,accepts_diploma,accepts_equivalent,minimum_csee_division_if_available,minimum_acsee_principal_passes_if_available,minimum_points_if_available,required_subjects,required_subject_grades_if_available,required_prior_field_if_available,bridge_or_foundation_required,eligibility_confidence,official_source_url,notes
Bachelor of Science in Nursing,bachelor of science in nursing,State University of Zanzibar (SUZA),state zanzibar suza,"Diploma in Nursing with an average of “B’’ or a minimum GPA of 3.0. In addition, an applicant must have a minimum of ‘’D’’ grade in the following subjects: Mathematics, Chemistry, Biology, Physics and English at O-Level.",no,no,no,yes,unknown,,,,Biology; Chemistry; English; Mathematics; Physics,,Nursing,unknown,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SZ015.
Bachelor of Science in Nursing,bachelor of science in nursing,State University of Zanzibar (SUZA),state zanzibar suza,"Three principal passes in Chemistry, Biology and either Physics or Advanced Mathematics or Nutrition with a minimum of 6 points. A minimum of C grade in Chemistry and ‘’D’’ grade in Biology and at least ‘’E’’ grade in Physics or Advanced Mathematics or Nutrition.",no,yes,no,no,no,,three principal passes,6.0,Advanced Mathematics; Biology; Chemistry; Mathematics; Nutrition; Physics,minimum of C grade in Chemistry and; C grade in Chemistry and,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SZ015.
Bachelor of Science with Education,bachelor of science with education,State University of Zanzibar (SUZA),state zanzibar suza,"Diploma in Education with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0 in science cluster OR Diploma in Science subjects with a minimum GPA of 3.0. Additionally, an applicant must also possess a Form 6 certificate with at least subsidiary grades",no,no,no,yes,yes,,,,,,Education; Science subjects,yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SZ002.
Bachelor of Science with Education,bachelor of science with education,State University of Zanzibar (SUZA),state zanzibar suza,"Two principal passes in the following subjects: Physics, Chemistry, Biology, Geography,Advanced Mathematics or Computer Science.",no,yes,no,no,no,,two principal passes,4.0,Advanced Mathematics; Biology; Chemistry; Computer Science; Geography; Mathematics; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SZ002.
Doctor of Dental Surgery,doctor of dental surgery,State University of Zanzibar (SUZA),state zanzibar suza,"Diploma in Dental Health Sciences or Clinical Medicine with an average of “B’’ or a minimum GPA of 3.0. In addition, an applicant must have a minimum of ‘’D’’ grade in the following subjects: Mathematics, Chemistry, Biology, Physics and English at O-Level.",no,no,no,yes,unknown,,,,Biology; Chemistry; English; Mathematics; Physics,,Dental Health Sciences,unknown,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SZ017.
Doctor of Dental Surgery,doctor of dental surgery,State University of Zanzibar (SUZA),state zanzibar suza,"Three principal passes in Physics, Chemistry and Biology with a minimum of 6 points. A minimum of ‘’D’’ grade in Chemistry, Biology and Physics.",no,yes,no,no,no,,three principal passes,6.0,Biology; Chemistry; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SZ017.
Doctor of Medicine,doctor of medicine,State University of Zanzibar (SUZA),state zanzibar suza,"Diploma in Clinical Medicine or Clinical Dentistry with an average of “B’’ or a minimum GPA of 3.0. In addition, an applicant must have a minimum of “D” grade in the following subjects: Mathematics, Chemistry, Biology, Physics and English at O-Level.",no,no,no,yes,unknown,,,,Biology; Chemistry; English; Mathematics; Physics,minimum of “D” grade in the following subjects; “D” grade in the following subjects,Clinical Medicine,unknown,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SZ001.
Doctor of Medicine,doctor of medicine,State University of Zanzibar (SUZA),state zanzibar suza,"Three principal passes in Physics, Chemistry and Biology with minimum of 6 points. A minimum of ‘’D’’ grade in Chemistry, Biology and Physics.",no,yes,no,no,no,,three principal passes,6.0,Biology; Chemistry; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SZ001.
Diploma in Accountancy,diploma in accountancy,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Certificate in Accountancy OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one subsidiary in Principal subjects,no,yes,yes,no,no,,,,Accountancy,,Accountancy,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Diploma in Business Administration,diploma in business administration,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Certificate in Business Administration OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one subsidiary in Principal subjects,no,yes,yes,no,no,,,,,,Business Administration,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Diploma in Law,diploma in law,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Certificate in Law OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one subsidiary in Principal subjects,no,yes,yes,no,no,,,,,,Law,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Diploma in Librarianship and Records Management,diploma in librarianship and records management,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Technician Certificate (NTA Level 5) in Librarianship and Records Management,no,yes,yes,no,no,,,,,,Librarianship and Records Management,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Basic Technician Certificate (NTA Level 4) in Accountancy OR Advanced Certificate of Secondary Education Examination (ACSEE) with one Principal pass and one Subsidiary in Principal Subjects,no,yes,yes,no,no,,,,Accountancy,,Accountancy,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Basic Mathematics OR National Vocational Award (NVA ) Level III with a Certificate of Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,Basic Mathematics; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Business Administration,ordinary diploma in business administration,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,"Holders of Basic Technician Certificate (NTA Level 4) in Business Administration, Human Resource Management, Accounting, Banking and Finance OR Advanced Certificate of Secondary Examination with one Principal pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,Accounting,,"Business Administration, Human Resource Management, Accounting, Banking and Finance",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Business Administration,ordinary diploma in business administration,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects OR National Vocational Award (NVA) Level III with a Certificate of Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Community Development,ordinary diploma in community development,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,"Holders of Basic Technician Certificate (NTA Level 4) in Community Development, Social Work, Community Health, Gender, Youth Work, Social Protection OR Advanced Certificate of Secondary Education Examination (ACSEE) with one Principal pass and one Subsidiary in principal subjects",no,yes,yes,no,no,,,,,,"Community Development, Social Work, Community Health, Gender, Youth Work, Social Protection",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Community Development,ordinary diploma in community development,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non- religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Procurement and Supply,ordinary diploma in procurement and supply,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,"Holders of Basic Technician Certificate (NTA Level 4) in Procurement and Supply, Logistics, Clearing and Forwarding, Inventory Management OR Advanced Certificate of Secondary Education Examination (ACSEE) with one Principal pass and one Subsidiary pass in Principal subjects",no,yes,yes,no,no,,,,,,"Procurement and Supply, Logistics, Clearing and Forwarding, Inventory Management",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Procurement and Supply,ordinary diploma in procurement and supply,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects OR National Vocational Award (NVA) Level III with a Certificate of Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Technician Certificate in Librarianship and Records Management,technician certificate in librarianship and records management,STELLA MARIS MTWARA UNIVERSITY COLLEGE,stella maris mtwara,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Bachelor of Arts in Economics,bachelor of arts in economics,Stella Maris Mtwara University College (STeMMUCo),stella maris mtwara stemmuco,"Diploma in Economics, Banking and Finance, Business Administration, Education (Economics, Commerce, Mathematics), Statistics, Economics and Development or Accountancy with an average of “B’’ or a minimum GPA of 3.0.",no,no,no,yes,unknown,,,,Accountancy; Commerce; Economics; Mathematics,,"Economics, Banking and Finance, Business Administration, Education (Economics, Commerce, Mathematics), Statistics, Economics and Development",unknown,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SAM07.
Bachelor of Arts in Economics,bachelor of arts in economics,Stella Maris Mtwara University College (STEMMUCo),stella maris mtwara stemmuco,"Two principal passes at 'A Level', one of which must be Economics and one the following subjects: History, Geography, Commerce, Accountancy, Advanced Mathematics, Computer Science.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Advanced Mathematics; Commerce; Computer Science; Economics; Geography; History; Mathematics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SAM07.
Bachelor of Arts in Sociology,bachelor of arts in sociology,Stella Maris Mtwara University College (STeMMUCo),stella maris mtwara stemmuco,"Diploma in Social Work, Planning, Sociology, Religious studies, International Relations and Diplomacy, Philosophy, Ethics, Community Development, Environmental Studies, Business Administration, Statistics, Theology, Accountancy, Finance, Economics, Law, Records management , Human Resource management, Journalism, Secretarial Studies, Procurement and supply chain management, Political science, Clinical medicine, Counseling and Psychology, Nursing, Public Administration, Fishing, Marine Science, Agriculture, Nutrition or Education with an average of “ B ’ ’ or a minimum GPA of 3.0. OR Foundation Programme of the OUT with a minimum GPA of 3.0. 20 3 Duration (YRS) 4.. Bachelor of Philosophy with Political Science SAM04 Diploma in Social Work, Planning, Sociology, International Relations and Diplomacy, Philosophy, Ethics, Community Development, Environmental Studies, Business Administration, Statistics, Accountancy, Finance, Economics, Law, Records management, Human Resource management, Journalism, Secretarial Studies, Political science, Counseling and Psychology, Public Administration or Education with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accountancy; Agriculture; Economics; Nutrition; Religious Studies,,,yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SAM02.
Bachelor of Arts in Sociology,bachelor of arts in sociology,Stella Maris Mtwara University College (STEMMUCo),stella maris mtwara stemmuco,"Two principal passes in the following subjects: History, Kiswahili, English Language, Literature in English, Geography, Economics, Commerce, Accountancy, Mathematics, Biology, Physics, Chemistry, Agriculture, Nutrition. 4.0 80 3 Points Duration (Yrs)",no,yes,no,no,no,,two principal passes,,Accountancy; Agriculture; Biology; Chemistry; Commerce; Economics; English; English Language; Geography; History; Kiswahili; Literature; Mathematics; Nutrition; Physics,,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SAM02.
Bachelor of Arts with Education,bachelor of arts with education,Stella Maris Mtwara University College (STeMMUCo),stella maris mtwara stemmuco,Diploma in Education with an average of “ B ’ ’ or a minimum GPA of 3.0. OR Foundation Programme of the OUT with a minimum GPA of 3.0.,no,no,no,yes,unknown,,,,,,Education,yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SAM01.
Bachelor of Arts with Education,bachelor of arts with education,Stella Maris Mtwara University College (STEMMUCo),stella maris mtwara stemmuco,"Two principal passes in the following Arts subjects: History, Kiswahili, English Language, Literature in English, Geography, Economics, Commerce, Accountancy, Mathematics.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Commerce; Economics; English; English Language; Geography; History; Kiswahili; Literature; Mathematics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SAM01.
Bachelor of Business Administration,bachelor of business administration,Stella Maris Mtwara University College (STeMMUCo),stella maris mtwara stemmuco,"Diploma in Human Resources Management, Business Administration, Public Relations, Accountancy, Banking and Finance, Commerce, Marketing, Entrepreneuership, Procurement and Supplies Management, International Business, Microfinance Management, Customs, Local Government Administration, Enterprise Development, Public Administration, Regional Planning, Rural Development, Urban Development, Rural Planning, Community Development, Economics, Tax, Insurance, Procurement and Logistics Management, Accounting and Finance, Computer science, ICT, Clearing and forwarding, Insurance and risk managements, Shipping and logistics, Project planning and managements, Natural resources management, Office management and administration or 100 3 Duration (YRS) Statistics with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate e of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accountancy; Accounting; Commerce; Computer Science; Economics,,,yes,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SAM06.
Bachelor of Business Administration,bachelor of business administration,Stella Maris Mtwara University College (STEMMUCo),stella maris mtwara stemmuco,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. 4.0 200 3 Points",no,yes,no,no,no,,two principal passes,,Accountancy; Advanced Mathematics; Agriculture; Arabic; Biology; Chemistry; Commerce; Computer Science; Economics; English; English Language; Fine Arts; French; Geography; History; Kiswahili; Mathematics; Nutrition; Physics,,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SAM06.
Bachelor of Laws,bachelor of laws,Stella Maris Mtwara University College (STeMMUCo),stella maris mtwara stemmuco,"Diploma in Laws, Law Enforcement, Canon Law, Shariyah, Education, Counseling and Psychology, Human Resource Management, Business Administration, Public Relations, Accountancy, Banking and Finance, Commerce, Marketing, Entrepreneurship, Procurement and Supply chain Management, International Business, Micro-Finance Management, Customs, Local Government 100 4 Duration (YRS) Administration, Enterprise Development, Enterprise Management, Political science, Public Administration, Regional Planning, Rural Development, Urban Development, Rural Planning, Community Development, Economics, Tax, Insurance, Procurement and Logistics Management, Finance, Accounting and Finance, Economics, Cooperative Management and Accounting Computer science, ICT, Business Information and Communication Technology, Clearing and forwarding, Insurance and Risk Managements, Shipping and logistics, Project Planning and Managements, Librarianship and Records Management, Library and Archive Studies, Record Management and Archive Studies, Clinical medicine, Pharmaceutical Clinical Medicine, Nursing, Natural Resources Management, Office management and administration or Statistics, Social Work, Planning, Sociology, Religious studies, Diplomacy, International Relations and Diplomacy, Philosophy, Duration (YRS) Ethics, Environmental Studies, Statistics, Theology, Journalism, Secretarial Studies, Fishing, Marine Science, Agriculture, Nutrition, and Languages with an average of “B’’ or a minimum GPA of 3.0.",no,no,no,yes,unknown,,,,Accountancy; Accounting; Agriculture; Commerce; Computer Science; Economics; Information and Communication Technology; Nutrition; Religious Studies,,,unknown,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SAM05.
Bachelor of Laws,bachelor of laws,Stella Maris Mtwara University College (STEMMUCo),stella maris mtwara stemmuco,Two principal passes in Arts subjects at ‘A Level'. If the principal passes do not include English or History an applicant must have a minimum of a “D” grade in English or History at O-Level.,no,yes,no,no,no,,two principal passes,4.0,English; History,“D” grade in English or History at O-Level,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SAM05.
Bachelor of Philosophy with Political Science,bachelor of philosophy with political science,Stella Maris Mtwara University College (STEMMUCo),stella maris mtwara stemmuco,"Two principal passes in the following subjects: History, Kiswahili, English Language, Literature in English, French, Geography, Mathematics, Chemistry, Physics, Biology, Accountancy, Agriculture, Nutrition, Economics.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Agriculture; Biology; Chemistry; Economics; English; English Language; French; Geography; History; Kiswahili; Literature; Mathematics; Nutrition; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SAM04.
Bachelor of Science with Education.,bachelor of science with education,Stella Maris Mtwara University College (STeMMUCo),stella maris mtwara stemmuco,Diploma in education with an average of “ B ’ ’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0.,no,no,no,yes,yes,,,,,,education,yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: SAM09.
Bachelor of Science with Education.,bachelor of science with education,Stella Maris Mtwara University College (STEMMUCo),stella maris mtwara stemmuco,"Two principal passes in either of the following subjects: Mathematics, Geography and Chemistry.",no,yes,no,no,no,,two principal passes,4.0,Chemistry; Geography; Mathematics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: SAM09.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,SUMBAWANGA COLLEGE OF HEALTH AND ALLIED SCIENCES,sumbawanga health allied sciences,"Holders of Certificate of Secondary Education Examination (CSEE) with four (4) Passes in non-religious Subjects including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,SUYE HEALTH INSTITUTE,suye health,"Holders of Certificate of Secondary Education Examination (CSEE) with four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Film and Tv Production,ordinary diploma in film and tv production,TAASISI YA SANAA NA UTAMADUNI BAGAMOYO (TASUBA),taasisi ya sanaa na utamaduni bagamoyo tasuba,"Holders of Basic Technician Certificate (NTA Level 4) in Film and Tv Production, Performing and visual Art, Education, Journalism, Music, Arts and Sports, Information Technology, Mass Communication, Media Production OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.",no,yes,yes,no,no,,,,Music; Sports,,"Film and Tv Production, Performing and visual Art, Education, Journalism, Music, Arts and Sports, Information Technology, Mass Communication, Media Production",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Film and Tv Production,ordinary diploma in film and tv production,TAASISI YA SANAA NA UTAMADUNI BAGAMOYO (TASUBA),taasisi ya sanaa na utamaduni bagamoyo tasuba,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Music and Sound Production,ordinary diploma in music and sound production,TAASISI YA SANAA NA UTAMADUNI BAGAMOYO (TASUBA),taasisi ya sanaa na utamaduni bagamoyo tasuba,"Holders of Basic Technician Certificate (NTA Level 4) in Music and Sound Production, Film and TV Production, Performing and Visual Arts, Media Production, Journalism, Mass Media OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.",no,yes,yes,no,no,,,,Music,,"Music and Sound Production, Film and TV Production, Performing and Visual Arts, Media Production, Journalism, Mass Media",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Music and Sound Production,ordinary diploma in music and sound production,TAASISI YA SANAA NA UTAMADUNI BAGAMOYO (TASUBA),taasisi ya sanaa na utamaduni bagamoyo tasuba,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects.,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Performing and Visual Arts,ordinary diploma in performing and visual arts,TAASISI YA SANAA NA UTAMADUNI BAGAMOYO (TASUBA),taasisi ya sanaa na utamaduni bagamoyo tasuba,"Holders of Basic Technician Certificate (NTA Level 4) in Performing and Visual Arts, Education, Film and TV Production, Music and Sound Production, Arts and Sports, Education, Community Development, Journalism OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.",no,yes,yes,no,no,,,,Music; Sports,,"Performing and Visual Arts, Education, Film and TV Production, Music and Sound Production, Arts and Sports, Education, Community Development, Journalism",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Performing and Visual Arts,ordinary diploma in performing and visual arts,TAASISI YA SANAA NA UTAMADUNI BAGAMOYO (TASUBA),taasisi ya sanaa na utamaduni bagamoyo tasuba,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,TABORA INSTITUTE,tabora,"Holders of Certificate of Secondary Education Examination (CSEE) with four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,TABORA BLISS COLLEGE - TABORA,tabora bliss tabora,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage.,yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
